Tanggal,suhu,kelembapan,curah hujan,kecepatan angin harian
2018-08-18,27.1,84,9.8,3
2018-08-19,27.7,82,8888,3
2018-08-20,27.8,82,0,2
2018-08-21,27.4,85,0,3
2018-08-22,25.9,89,0.1,2
2018-08-23,26.7,84,0.6,2
2018-08-24,27.8,77,0,3
2018-08-25,26.4,80,0,3
2018-08-26,27.2,77,0,2
2018-08-27,27.1,82,0,2
2018-08-28,27.5,84,0,3
2018-08-29,27.5,82,0,2
2018-08-30,27.6,81,0,2
2018-08-31,27.2,84,0,3
2018-09-01,27,84,7.1,2
2018-09-02,26.5,84,0,2
2018-09-03,26.6,89,6.5,3
2018-09-04,25.8,87,29.7,2
2018-09-05,27.3,85,0,2
2018-09-06,25.4,90,0,2
2018-09-07,26.7,86,3.6,3
2018-09-08,26.4,86,0.7,3
2018-09-09,25.3,89,9.7,2
2018-09-10,25.3,91,31.3,3
2018-09-11,25.9,90,16.7,2
2018-09-12,27,86,2.9,4
2018-09-13,26.4,86,0,3
2018-09-14,25.9,88,0,2
2018-09-15,26.9,87,0.7,3
2018-09-16,26.7,83,40,3
2018-09-17,27,86,0,3
2018-09-18,26.2,89,21.3,2
2018-09-19,27,87,0,2
2018-09-20,27.5,85,5.6,2
2018-09-21,27.7,81,0.2,2
2018-09-22,27,88,4.1,3
2018-09-23,26,90,8888,3
2018-09-24,25.5,92,12,2
2018-09-25,27.2,86,3.5,3
2018-09-26,26.4,85,9.9,2
2018-09-27,27.1,85,0,2
2018-09-28,25.8,92,0,2
2018-09-29,26.9,86,0,2
2018-09-30,26,93,0,2
2018-10-01,26.2,95,7.5,2
2018-10-02,25.7,95,3.6,2
2018-10-03,26.4,93,24.2,2
2018-10-04,26.8,90,8888,2
2018-10-05,26.4,91,0,2
2018-10-06,27.2,86,19.1,3
2018-10-07,25.9,93,0.2,2
2018-10-08,26.7,90,4.4,3
2018-10-09,26.2,90,35,2
2018-10-10,25.9,92,2.3,2
2018-10-11,25,94,12.4,2
2018-10-12,24.1,97,35,2
2018-10-13,25.7,88,19.2,2
2018-10-14,25.9,88,4,2
2018-10-15,27.2,87,8888,3
2018-10-16,26.5,90,71.5,3
2018-10-17,25.5,90,4,2
2018-10-18,25.9,91,0.2,3
2018-10-19,25.4,89,15.8,2
2018-10-20,27.2,82,8888,2
2018-10-21,26.6,88,5.7,3
2018-10-22,27.5,86,0,3
2018-10-23,25.1,94,8888,2
2018-10-24,25.5,85,10.6,2
2018-10-25,27.3,86,0,3
2018-10-26,27,84,0,3
2018-10-27,26.9,87,8.8,2
2018-10-28,25.9,94,0,1
2018-10-29,26.1,87,3,2
2018-10-30,27.4,88,0,3
2018-10-31,25.4,95,9.5,1
2018-11-01,25.8,94,0.6,2
2018-11-02,27.5,89,1.5,2
2018-11-03,25.8,90,4.1,2
2018-11-04,26.7,92,0,2
2018-11-05,27.1,87,0.1,2
2018-11-06,27.2,90,9.5,3
2018-11-07,26.8,87,0,3
2018-11-08,26.6,88,0,2
2018-11-09,26.7,92,9.8,2
2018-11-10,27.5,88,8888,2
2018-11-11,26.9,92,0.2,2
2018-11-12,26.3,92,7,2
2018-11-13,26.5,90,25.4,2
2018-11-14,27.3,90,4.8,3
2018-11-15,25.7,92,1.2,2
2018-11-16,26.2,89,0.2,3
2018-11-17,27.4,89,14.9,2
2018-11-18,26.5,91,0,2
2018-11-19,26.2,95,6.7,2
2018-11-20,26.5,86,29.5,3
2018-11-21,25.8,91,8888,2
2018-11-22,25.5,93,2.7,2
2018-11-23,26.4,92,0,2
2018-11-24,25.6,95,2.3,3
2018-11-25,26.4,89,10,2
2018-11-26,27,86,8888,3
2018-11-27,26.9,87,11.9,2
2018-11-28,27.8,85,0,3
2018-11-29,27.6,89,0,2
2018-11-30,27.8,88,0,2
2018-12-01,27.1,88,0,3
2018-12-02,26.2,91,28.9,3
2018-12-03,27.6,87,0.1,3
2018-12-04,27.5,90,10,3
2018-12-05,27,88,18,2
2018-12-06,27,90,0,2
2018-12-07,26.5,93,9.9,3
2018-12-08,27.3,86,0,2
2018-12-09,27.1,90,0,2
2018-12-10,26.2,90,0,3
2018-12-11,27,91,7,3
2018-12-12,27.4,90,8888,2
2018-12-13,26.3,95,0,2
2018-12-14,26.4,90,22.3,2
2018-12-15,26.1,88,1.7,2
2018-12-16,27,90,0,2
2018-12-17,26.9,88,1.3,2
2018-12-18,27.2,90,0,3
2018-12-19,27,89,3.8,2
2018-12-20,27.1,88,0.6,2
2018-12-21,28.1,86,0,4
2018-12-22,27.4,88,0,3
2018-12-23,26.5,88,0,2
2018-12-24,26.9,88,0,4
2018-12-25,27.3,88,0,3
2018-12-26,27,87,0.4,4
2018-12-27,26.6,87,0,3
2018-12-28,27.6,85,2.5,4
